country_code,country,year,agriculture_pct_gdp,arable_land_pct,gdp_per_capita_usd,population,rural_population_pct
COL,Colombia,2023,8.80792294653033,2.29770166741776,7000.83660501046,52321152.0,21.724428420456
COL,Colombia,2024,9.28279635992211,,7919.20886825345,52886363.0,21.4789188133885
CRI,Costa Rica,2000,9.24882318534345,4.11280846063455,3812.75388284924,3937739.0,40.9537621024606
CRI,Costa Rica,2001,8.37953627007384,4.11280846063455,3985.12984506207,4008947.0,39.8572399551392
CRI,Costa Rica,2002,8.42775029018437,3.91696043869957,4067.71851429092,4075705.0,38.7212366424054
CRI,Costa Rica,2003,8.84007800871514,4.11280846063455,4173.14856415514,4138784.0,37.5481940696198
CRI,Costa Rica,2004,8.85240876800238,4.11280846063455,4431.0117207843,4200078.0,36.3403986453995
CRI,Costa Rica,2005,8.62223694626727,4.11280846063455,4703.00721784778,4261240.0,35.1001367783616
CRI,Costa Rica,2006,8.42982819706634,4.11280846063455,5256.59640859159,4321340.0,33.8296948771233
CRI,Costa Rica,2007,7.91531104342903,3.91696043869957,6137.71199925542,4380248.0,32.5313593503017
CRI,Costa Rica,2008,6.97696046934205,3.91696043869957,6937.24261596055,4440056.0,31.2074166065139
CRI,Costa Rica,2009,7.04962970066208,4.30865648256953,6832.69829924138,4499791.0,29.8601530543772
CRI,Costa Rica,2010,6.48518940835947,4.40658049353701,8265.78820275582,4555962.0,28.4918551025085
CRI,Costa Rica,2011,5.59987212230861,4.5436741088915,9276.39107511347,4609833.0,27.1573413320086
CRI,Costa Rica,2012,5.13084191429059,4.5436741088915,10126.9991024177,4663934.0,26.6104979331783
CRI,Costa Rica,2013,4.78335093294853,4.5436741088915,10803.2401962173,4716147.0,26.0568223807137
CRI,Costa Rica,2014,4.88788378983139,4.5436741088915,10911.497878334,4767119.0,25.5133036818788
CRI,Costa Rica,2015,4.74911042904841,4.33194085389738,11714.7105980732,4818038.0,24.9801804232451
CRI,Costa Rica,2016,4.9143557868633,4.12020759890325,12091.0301606154,4866998.0,24.4576911914953
CRI,Costa Rica,2017,4.69977633159901,3.90847434390913,12317.0902771304,4913177.0,23.9460745734392
CRI,Costa Rica,2018,4.48382833722173,3.696741088915,12590.2493781614,4957818.0,23.4455691560332
CRI,Costa Rica,2019,4.20205116302465,3.48500783392088,12884.6859951989,4999553.0,22.9564135264037
CRI,Costa Rica,2020,4.34422556035497,3.27327457892675,12394.0493969492,5034320.0,22.4788462718743
CRI,Costa Rica,2021,4.36671325937127,3.27327457892675,12838.1185358931,5059988.0,22.0131059799991
CRI,Costa Rica,2022,4.14007362090085,3.27327457892675,13625.9008491328,5081765.0,21.5594312386028
CRI,Costa Rica,2023,3.80047657288839,3.27327457892675,16942.0268119375,5105525.0,21.1180606358298
CRI,Costa Rica,2024,3.56242614167823,,18587.1532203482,5129910.0,20.6892327602033
ETH,Ethiopia,2000,44.6660179485759,9.872,122.269202606069,67411494.0,85.0806903839111
ETH,Ethiopia,2001,42.3405711240311,9.862,118.457204255261,69487762.0,84.8822326660156
ETH,Ethiopia,2002,38.6923716914638,9.853,109.593813612988,71635517.0,84.666766166687
ETH,Ethiopia,2003,37.2850554139561,10.928,116.800491132777,73832663.0,84.4561462402344
ETH,Ethiopia,2004,38.6797549469264,10.9551919006009,133.169812538096,76077206.0,84.2414093017578
ETH,Ethiopia,2005,41.1744985607337,11.3618662700454,158.243458082465,78367470.0,84.017032623291
ETH,Ethiopia,2006,42.5241701226393,11.8694340984139,189.345737521418,80703490.0,83.7851524353027
ETH,Ethiopia,2007,42.2650121920913,12.4380754315493,237.146255996319,83103217.0,83.9051669738098
ETH,Ethiopia,2008,45.1845583729593,12.0559827881042,316.410475118075,85543668.0,83.2063293457031
ETH,Ethiopia,2009,45.8826942649105,12.3587993002942,368.574712267445,88007636.0,82.8488998413086
ETH,Ethiopia,2010,41.4468200699758,12.9057011034308,330.619412798644,90538514.0,82.5062160491943
ETH,Ethiopia,2011,41.2499638574537,13.4622853188946,343.024942351887,93149970.0,82.136209487915
ETH,Ethiopia,2012,44.3309427521463,13.5975929442794,452.101031885754,95798767.0,81.7938632965088
ETH,Ethiopia,2013,41.2395055340925,13.7084728569845,484.039833104062,98438751.0,81.384485244751
ETH,Ethiopia,2014,38.5204496889284,13.8196461741706,549.986577082588,101115610.0,80.9737129211426
ETH,Ethiopia,2015,36.0569753905786,13.9303953410931,597.912113218663,103867135.0,80.548433303833
ETH,Ethiopia,2016,34.6969564523634,14.0409203421887,641.651523286233,106718162.0,80.1236381530762
ETH,Ethiopia,2017,33.7792813400479,14.1501576177916,696.348429076216,109666481.0,79.6915149688721
ETH,Ethiopia,2018,31.2188066487174,14.3430388457376,739.702022272086,112664152.0,79.2161903381348
ETH,Ethiopia,2019,33.6333246930874,14.3473484917961,793.473247210264,115737383.0,78.7513294219971
ETH,Ethiopia,2020,35.5582700374118,14.3500889708883,829.790982547947,118917671.0,78.3739948272705
ETH,Ethiopia,2021,37.5791137568863,14.560115607756,893.00983544905,122138588.0,77.8932914733887
ETH,Ethiopia,2022,37.6422268385035,14.5325559938566,982.103161506992,125384287.0,77.2632312774658
ETH,Ethiopia,2023,35.7864807848152,14.5325559938566,1055.81091592527,128691692.0,76.9413528442383
ETH,Ethiopia,2024,34.7737782043855,,1133.88279681719,132059767.0,76.3777160644531
GTM,Guatemala,2000,22.8211479342179,15.7775289287047,1648.96578971559,11697592.0,56.7565244894953
GTM,Guatemala,2001,14.1721468397886,16.5467525195969,1537.68663578252,11969422.0,55.321904399496
GTM,Guatemala,2002,14.1702868527657,17.315976110489,1669.33517469705,12246915.0,54.2245268061152
GTM,Guatemala,2003,13.4691278963937,18.0851063829787,1722.54701910774,12525842.0,53.4134610277895
GTM,Guatemala,2004,13.0735432996184,15.5748413587159,1840.91184884,12807402.0,52.673180513364
GTM,Guatemala,2005,12.5899676936002,13.0645763344532,2046.46611650758,13087629.0,51.9442048426166
GTM,Guatemala,2006,11.4490682853821,14.053751399776,2225.1234753878,13367459.0,51.2323643811666
GTM,Guatemala,2007,11.6376079270391,14.7069802164987,2458.81573919384,13652040.0,50.5434894946335
GTM,Guatemala,2008,11.3336648903463,14.7536394176932,2763.05988172926,13935174.0,49.8834105486367
GTM,Guatemala,2009,11.8486078978063,14.3766330720418,2611.64632773352,14215611.0,49.2579579087955
GTM,Guatemala,2010,11.2341516901897,13.9996267263904,2805.25960237322,14500112.0,48.6729619407294
GTM,Guatemala,2011,11.2587427520036,13.6226203807391,3168.98370607705,14792126.0,48.1342530100577
GTM,Guatemala,2012,10.7227497533367,13.2456140350877,3286.61959336267,15089647.0,47.6476614824
GTM,Guatemala,2013,10.3562262011186,12.8686076894364,3444.15802275864,15387337.0,47.2190177233755
GTM,Guatemala,2014,10.0744824629421,13.1849570735349,3689.14510410202,15681725.0,46.8541520986036
GTM,Guatemala,2015,9.96700294850351,13.7178051511758,3893.50533299068,15971743.0,46.5588949737039
GTM,Guatemala,2016,9.66139477990376,13.876446435237,4060.13784737643,16268760.0,46.3390767142957
GTM,Guatemala,2017,9.69628321231672,14.0350877192982,4324.99768915601,16567357.0,46.2005276859983
GTM,Guatemala,2018,9.43550881537545,14.1937290033595,4352.94593289707,16845685.0,46.154037696458
GTM,Guatemala,2019,9.40872375710839,14.3523702874207,4511.99839552697,17103803.0,45.8117732732026
GTM,Guatemala,2020,9.9263191804303,14.501679731243,4477.61785000665,17357325.0,45.4516832088372
GTM,Guatemala,2021,9.17348943872533,14.501679731243,4912.62240414681,17598650.0,45.0952928446242
GTM,Guatemala,2022,9.08210141828618,14.501679731243,5358.70156997677,17847877.0,44.7418771784735
GTM,Guatemala,2023,9.68670752459035,14.501679731243,5758.32760847852,18124838.0,44.3917680434461
GTM,Guatemala,2024,9.7799315643005,,6150.02571438505,18406359.0,44.0452972725237
HND,Honduras,2000,14.3725235386886,9.54508892662436,1092.56400746252,6577773.0,54.6766645607873
HND,Honduras,2001,13.1659906583333,9.54508892662436,1132.1648753329,6757993.0,54.1376966444085
HND,Honduras,2002,12.1834127398259,9.54508892662436,1132.49965345317,6938859.0,53.5805809935884
HND,Honduras,2003,11.6140985227332,9.54508892662436,1156.08162681357,7119213.0,53.009815395955
